Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","351","China","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","259257","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2515","Rye and products","2017","2017","1000 tonnes","1332","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2516","Oats","2017","2017","1000 tonnes","1281","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","1997","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","2797","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","2652","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","96","China, Hong Kong SAR","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","96","China, Hong Kong SAR","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","96","China, Hong Kong SAR","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","96","China, Hong Kong SAR","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","128","China, Macao SAR","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","128","China, Macao SAR","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","128","China, Macao SAR","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","128","China, Macao SAR","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","41","China, mainland","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","134403","S","Standardized data"
"FBS","New Food Balances","41","China, mainland","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","212676","S","Standardized data"
"FBS","New Food Balances","41","China, mainland","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","1897","S","Standardized data"
"FBS","New Food Balances","41","China, mainland","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","259071","S","Standardized data"
